root@comp3134-intro-to-cyber-security:~# tcpdump -n -i eth0

03:11:27.927845 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1788112:1788276, ack 973, win 501, length 164
03:11:27.927899 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1788276:1788440, ack 973, win 501, length 164
03:11:27.927957 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1788440:1788604, ack 973, win 501, length 164
03:11:27.928012 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1788604:1788768, ack 973, win 501, length 164
03:11:27.928060 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1788768:1788932, ack 973, win 501, length 164
03:11:27.928109 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1788932:1789096, ack 973, win 501, length 164
03:11:27.928157 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1789096:1789260, ack 973, win 501, length 164
03:11:27.928205 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1789260:1789424, ack 973, win 501, length 164
03:11:27.928263 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1789424:1789588, ack 973, win 501, length 164
03:11:27.928326 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1789588:1789752, ack 973, win 501, length 164
03:11:27.928374 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1789752:1789916, ack 973, win 501, length 164
03:11:27.928422 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1789916:1790080, ack 973, win 501, length 164
03:11:27.928470 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1790080:1790244, ack 973, win 501, length 164
03:11:27.928519 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1790244:1790408, ack 973, win 501, length 164
03:11:27.928567 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1790408:1790572, ack 973, win 501, length 164
03:11:27.928616 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1790572:1790736, ack 973, win 501, length 164
03:11:27.928634 IP 184.148.29.143.59515 > 143.198.44.126.22: Flags [.], ack 1776804, win 1026, length 0
